"Region_ID","Region_name","Region_class","Sv_mean_38","NASC_38","Sv_max_38","Sv_min_38","Height_mean","Depth_mean","VL_start","VL_end","Date_M","Time_M","Lat_M","Lon_M","EV_filename","Uncorrected_length","Uncorrected_thickness","Uncorrected_perimeter","Uncorrected_area","Standard_deviation","Skewness","Kurtosis","Attack_angle","Corrected_length","Corrected_thickness","Corrected_perimeter","Corrected_area","Image_compactness","Corrected_mean_amplitude","Corrected_MVBS","Coefficient_of_variation_38","Horizontal_roughness_coefficient","Vertical_roughness_coefficient","X3D_school_area","X3D_school_volume","ABC_38","ABC_noise","Area_Backscatter_Strength_38","Thickness_mean","Range_mean","Frequency","Sv_mean_70","NASC_70","Sv_max_70","Sv_min_70","ABC_70","Coefficient_of_variation_70","Area_Backscatter_Strength_70","Sv_mean_120","NASC_120","Sv_max_120","Sv_min_120","ABC_120","Coefficient_of_variation_120","Area_Backscatter_Strength_120","Sv_mean_200","NASC_200","Sv_max_200","Sv_min_200","ABC_200","Coefficient_of_variation_200","Area_Backscatter_Strength_200","ddB70","ddB120","ddB200","Sv_mean_18"
25," Region25","Mun",-42.704755,5533.448727,-23.10044,-69.987252,2.393203,4.802149,1762.515,1762.834949,20161002," 15:34:52.40",-14.29221667,-76.79583909," C:\Users\Carlos Valdez Mego\Documents\1. IMARPE\Talleres\Taller IMARPE acustica multivariada\Lances_Malagua\Cr170910_JOB_Malagua\JOB_170910_Lance_121_Malagua\L121.EV",688.019818,12.287829,2159.196222,1670.024992,0.000206748,10.076243,152.350565,10.992844,687.095634,11.903829,2156.579855,1615.662825,229.071201,5.2e-05,-42.836315,397.257914,0.001668859,0.000330734,32716.276,4263.930588,0.000128382,0,-38.91495944,2.393203,4.802149,38,-45.885762,2660.083057,-27.195583,-69.96911,6.17e-05,295.589971,-42.09596637,-44.407913,3738.350919,-27.411803,-69.977654,8.67e-05,215.097375,-40.61811768,-42.081053,6388.016585,-26.601642,-69.949655,0.000148209,186.284939,-38.29125799,3.181007,1.703158,-0.623702000000002,NA
26," Region26","Mun",-47.605617,4879.891063,-35.701388,-69.959868,6.52349,20.418193,1762.515,1762.6549,20161002," 15:32:57.19",-14.29299546,-76.79717879," C:\Users\Carlos Valdez Mego\Documents\1. IMARPE\Talleres\Taller IMARPE acustica multivariada\Lances_Malagua\Cr170910_JOB_Malagua\JOB_170910_Lance_121_Malagua\L121.EV",304.189859,14.22292,1783.011293,1998.199661,2.72e-05,3.551568,17.677878,9.638342,300.746972,13.83892,1775.357518,1922.245459,130.482701,1.7e-05,-47.693861,160.003685,8.43e-05,1.94e-05,16648.05347,9243.241346,0.000113219,0,-39.46081707,6.52349,20.418193,38,-48.94468,3585.121616,-36.742576,-69.990357,8.32e-05,144.373395,-40.79987942,-47.120842,5456.166447,-34.366801,-69.992842,0.000126589,145.33033,-38.97604224,-45.652978,7650.22286,-30.549198,-69.924644,0.000177493,158.836577,-37.50817747,1.339063,-0.484774999999999,-1.952639,NA
27," Region27","Mun",-50.853618,1228.831923,-39.715997,-69.853595,3.470264,24.842722,1762.660805,1762.731106,20161002," 15:35:19.60",-14.29203333,-76.79545," C:\Users\Carlos Valdez Mego\Documents\1. IMARPE\Talleres\Taller IMARPE acustica multivariada\Lances_Malagua\Cr170910_JOB_Malagua\JOB_170910_Lance_121_Malagua\L121.EV",146.796561,9.578701,823.227499,545.459244,1.29e-05,2.886615,10.235051,8.638024,143.044113,9.194701,814.954604,510.208171,103.588027,7.98e-06,-50.977691,161.251874,3.49e-05,9.97e-06,5260.99164,1135.157082,2.85e-05,0,-45.44999349,3.470264,24.842722,38,-50.331406,1385.84192,-38.227381,-69.956933,3.22e-05,151.454823,-44.9277814,-46.96335,3009.673137,-35.766184,-69.897646,6.98e-05,133.416129,-41.55972502,-42.650618,8124.421527,-28.736775,-68.53187,0.000188495,190.278933,-37.24699386,-0.522211999999996,-3.890268,-8.203,NA
28," Region28","Mun",-51.236936,230.973437,-43.233808,-68.489879,0.712465,17.842258,1762.695478,1762.711427,20161002," 15:35:26.00",-14.2919808,-76.79536667," C:\Users\Carlos Valdez Mego\Documents\1. IMARPE\Talleres\Taller IMARPE acustica multivariada\Lances_Malagua\Cr170910_JOB_Malagua\JOB_170910_Lance_121_Malagua\L121.EV",37.899114,1.0643,75.747759,27.207494,1.09e-05,2.095822,3.908094,8.569534,35.225522,0.6803,69.632576,16.164168,23.87051,4.93e-06,-53.075295,220.750759,2.83e-05,7.18e-06,95.855714,6.560006,5.36e-06,0,-52.70929797,0.712465,17.842258,38,-51.01496,243.085834,-45.025367,-67.940717,5.64e-06,138.768315,-52.48732183,-48.968366,389.420699,-42.6346,-66.275226,9.03e-06,167.494279,-50.44072802,-48.485327,435.23413,-42.107391,-68.093414,1.01e-05,156.780359,-49.9576889,-0.221975999999998,-2.26857,-2.751609,NA
29," Region29","Mun",-57.425641,107.846692,-47.463091,-69.864809,1.383181,24.344877,1762.741711,1762.834949,20161002," 15:37:16.40",-14.29126667,-76.79425644," C:\Users\Carlos Valdez Mego\Documents\1. IMARPE\Talleres\Taller IMARPE acustica multivariada\Lances_Malagua\Cr170910_JOB_Malagua\JOB_170910_Lance_121_Malagua\L121.EV",208.854702,4.740973,631.016636,299.092005,2.06e-06,2.434227,9.312758,6.142566,206.242233,4.356973,625.023699,271.428559,114.53219,1.68e-06,-57.75962,123.141975,4.84e-06,1.39e-06,3594.367719,265.345471,2.5e-06,0,-56.01685005,1.383181,24.344877,38,-52.811551,312.044029,-43.543856,-69.808521,7.24e-06,114.334499,-51.40275958,-47.601977,1035.555325,-37.916169,-69.945303,2.4e-05,126.807896,-46.19318528,-42.47957,3368.324575,-33.016631,-69.116627,7.81e-05,123.817179,-41.070779,-4.61409,-9.823664,-14.946071,NA
30," Region30","Mun",-57.332285,91.519966,-45.798976,-69.981578,1.148821,23.504895,1762.842535,1762.98881,20161002," 15:39:46.81",-14.28978333,-76.79261667," C:\Users\Carlos Valdez Mego\Documents\1. IMARPE\Talleres\Taller IMARPE acustica multivariada\Lances_Malagua\Cr170910_JOB_Malagua\JOB_170910_Lance_121_Malagua\L121.EV",310.934133,3.676673,757.206318,345.960658,2.4e-06,3.969294,25.729493,6.175445,308.398277,3.292673,751.366605,307.300918,146.19417,1.66e-06,-57.787081,143.983653,7.01e-06,1.59e-06,4061.819055,313.091287,2.12e-06,0,-56.72975985,1.148821,23.504895,38,-52.362371,287.413558,-42.402809,-69.919597,6.67e-06,125.746196,-51.75984584,-47.757516,829.836834,-36.710159,-69.812877,1.93e-05,135.260425,-47.15499126,-42.358169,2876.917618,-33.465764,-68.720965,6.67e-05,124.239804,-41.75564408,-4.969914,-9.574769,-14.974116,NA
31," Region31","Mun",-57.244716,57.675728,-50.62006,-67.244016,0.709533,4.283588,1762.851304,1762.860295,20161002," 15:38:41.20",-14.29054546,-76.79332879," C:\Users\Carlos Valdez Mego\Documents\1. IMARPE\Talleres\Taller IMARPE acustica multivariada\Lances_Malagua\Cr170910_JOB_Malagua\JOB_170910_Lance_121_Malagua\L121.EV",21.189042,1.0643,44.590978,15.134605,1.88e-06,1.605682,2.97133,6.238385,20.722182,0.6803,42.889258,9.460884,15.472323,1.22e-06,-59.139851,154.542459,5.87e-06,1.47e-06,56.389216,3.56321,1.34e-06,0,-58.7349875,0.709533,4.283588,38,-54.177408,116.875614,-48.575984,-69.071893,2.71e-06,135.969818,-55.66767929,-50.193074,292.521153,-43.974915,-63.935185,6.79e-06,132.46359,-51.68334558,-42.461911,1734.896627,-36.113321,-64.287847,4.03e-05,159.392326,-43.95218232,-3.067308,-7.05164199999999,-14.782805,NA
32," Region32","Mun",-51.752167,730.066159,-33.334453,-69.939267,2.535637,22.812985,1763.016156,1763.128255,20161002," 15:42:58.81",-14.28746667,-76.79135," C:\Users\Carlos Valdez Mego\Documents\1. IMARPE\Talleres\Taller IMARPE acustica multivariada\Lances_Malagua\Cr170910_JOB_Malagua\JOB_170910_Lance_121_Malagua\L121.EV",242.42479,9.675456,857.638302,615.340468,2.03e-05,11.654123,200.306251,8.322408,239.105287,9.291456,850.231297,582.827401,98.701636,6.47e-06,-51.893056,313.453984,0.000123319,2.1e-05,8886.544993,901.315346,1.69e-05,0,-47.71129616,2.535637,22.812985,38,-50.426099,990.761222,-38.239487,-69.98431,2.3e-05,144.601293,-46.38522834,-46.070915,2700.768416,-33.935039,-69.892166,6.27e-05,142.723945,-42.03004488,-41.738148,7324.26587,-29.157891,-69.43791,0.000169931,151.922749,-37.69727734,-1.326068,-5.681252,-10.014019,NA
33," Region33","Mun",-56.519129,161.590364,-45.248023,-69.93718,1.682041,23.848429,1763.145976,1763.201702,20161002," 15:45:16.42",-14.28589237,-76.79095," C:\Users\Carlos Valdez Mego\Documents\1. IMARPE\Talleres\Taller IMARPE acustica multivariada\Lances_Malagua\Cr170910_JOB_Malagua\JOB_170910_Lance_121_Malagua\L121.EV",110.956526,3.676673,273.065802,182.794296,2.85e-06,3.766436,23.586556,6.549917,108.227257,3.292673,266.839264,159.676146,35.485388,2.02e-06,-56.945946,141.249374,7.02e-06,1.63e-06,1425.427992,213.536202,3.75e-06,0,-54.26076375,1.682041,23.848429,38,-52.768391,383.256274,-43.337129,-69.789909,8.89e-06,138.040267,-50.51002562,-47.217164,1375.979602,-38.200681,-68.542906,3.19e-05,117.171563,-44.95879838,-42.610876,3974.118076,-33.468662,-67.458412,9.22e-05,129.499044,-40.35251068,-3.750738,-9.301965,-13.908253,NA
34," Region34","Mun",-45.296162,1012.829346,-37.96272,-66.293231,0.795537,10.40896,1763.216944,1763.22704,20161002," 15:46:18.82",-14.28506667,-76.7909," C:\Users\Carlos Valdez Mego\Documents\1. IMARPE\Talleres\Taller IMARPE acustica multivariada\Lances_Malagua\Cr170910_JOB_Malagua\JOB_170910_Lance_121_Malagua\L121.EV",23.397623,1.161055,49.360297,19.582616,4.04e-05,1.576042,1.653852,10.372869,21.508013,0.777055,44.813078,12.047535,13.264824,2.03e-05,-46.924779,199.079704,0.000120948,2.35e-05,66.851612,5.787037,2.35e-05,0,-46.28955558,0.795537,10.40896,38,-46.387672,787.744398,-38.463393,-69.244707,1.83e-05,223.656395,-47.38106511,-46.134594,835.012648,-37.201554,-64.9825,1.94e-05,235.77704,-47.12798781,-48.378446,498.090024,-41.211285,-69.360976,1.16e-05,181.742876,-49.3718399,1.09151,0.838431999999997,3.08228399999999,NA
