"Region_class","Date_S","DN","barco","Sv_mean_38kHz","NASC_38kHz","Sv_max_38kHz","Sv_min_38kHz","Sv_noise_38kHz","NASC_noise_38kHz","Height_mean","Depth_mean","Dist_M","Date_M","Lat_M","Lon_M","EV_filename","Uncorrected_length","Uncorrected_thickness","Uncorrected_perimeter","Uncorrected_area","Standard_deviation_38kHz","Skewness_38kHz","Kurtosis_38kHz","Attack_angle","Corrected_length","Corrected_thickness","Corrected_perimeter","Corrected_area","Image_compactness_38kHz","Corrected_mean_amplitude","Corrected_MVBS_38kHz","Coefficient_of_variation_38kHz","Horizontal_roughness_coefficient","Vertical_roughness_coefficient","X3D_school_area","X3D_school_volume","ABC","ABC_noise","Area_Backscatter_Strength","Thickness_mean","Sv_mean_70kHz","NASC_70kHz","Sv_max_70kHz","Sv_min_70kHz","Sv_noise_70kHz","NASC_noise_70kHz","Standard_deviation_70kHz","Skewness_70kHz","Kurtosis_70kHz","Image_compactness_70kHz","Corrected_MVBS_70kHz","Coefficient_of_variation_70kHz","Sv_mean_120kHz","NASC_120kHz","Sv_max_120kHz","Sv_min_120kHz","Sv_noise_120kHz","NASC_noise_120kHz","Standard_deviation_120kHz","Skewness_120kHz","Kurtosis_120kHz","Image_compactness_120kHz","Corrected_MVBS_120kHz","Coefficient_of_variation_120kHz","Sv_mean_200kHz","NASC_200kHz","Sv_max_200kHz","Sv_min_200kHz","Sv_noise_200kHz","NASC_noise_200kHz","Standard_deviation_200kHz","Skewness_200kHz","Kurtosis_200kHz","Image_compactness_200kHz","Corrected_MVBS_200kHz","Coefficient_of_variation_200kHz","ddB70","ddB120","ddB200","mes","VI"
" Anchovy",20160408,1,"JOB",-30.780635,44192.139886,-21.343083,-67.755177,-984.082226,0,1.227204,5.921126,1.609429,20160408,-7.1808451,-79.77393333," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_22/Cr160304_JOB_Anchoveta_Lance_22.ev",22.811529,2.240134,61.893316,29.017138,0.00156629192804,2.488625,6.331245,13.147803,21.4468,1.856134,58.395857,22.60466,12.004836,0.0007074591331,-31.502986,221.396807,0.01228135881196,0.00156532572648,159.232515,25.4089,0.00102530528829,0,-29.8914680263,1.227204,-33.671379,22712.797413,-22.320209,-67.651593,-984.676808,0,0.00121403398394,3.345093,10.58242,12.035954,-34.39924,334.31424,-32.706088,28366.103771,-23.668462,-67.313625,-983.357156,0,0.00099972777671,2.307466,4.550908,12.01658,-33.430503,220.258196,-35.676154,14315.056927,-25.280258,-66.834951,-983.168967,0,0.00051467097804,3.357393,13.363882,12.051214,-36.406772,225.012627,2.890744,1.925453,4.895519,4,"Summer"
" Anchovy",20160410,1,"JOB",-34.225305,11107.223484,-28.051794,-65.925705,-987.609569,0,0.68178,4.026675,0.590747,20160410,-7.76667267,-79.445144," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",18.705759,1.071368,39.262745,13.084351,0.0004962563421,1.296618,0.437749,12.398834,17.830968,0.687368,36.745163,8.002072,13.427279,0.0002470195191,-36.072687,200.897623,0.00162636033805,0.00041488459651,49.025769,2.931909,0.00025769955937,0,-35.8888632403,0.68178,-32.047492,18339.47242,-22.49111,-66.488877,-987.547342,0,0.00148296523032,2.612127,5.651304,13.429916,-33.895099,363.61425,-37.336741,5425.776689,-28.415148,-66.462266,-987.047735,0,0.00038760724949,2.45539,5.008956,13.464136,-39.187302,321.456405,-38.560508,4093.409035,-24.347667,-67.464044,-987.635916,0,0.00061944194485,5.795586,33.960787,13.507393,-40.414891,681.537376,-2.177813,3.111436,4.335203,4,"Summer"
" Anchovy",20160410,1,"JOB",-35.570858,7371.985414,-29.238469,-59.664058,-985.708389,0,0.616848,4.777585,0.737126,20160410,-7.768566,-79.44421667," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",12.233753,0.876574,26.461587,6.677463,0.00036794870099,1.68547,2.052898,12.125762,11.21886,0.492574,23.663802,3.44099,12.950178,0.0001600851393,-37.95649,229.845632,0.00114942555073,0.00034206326659,22.104479,0.913022,0.00017103800925,0,-37.6690736696,0.616848,-40.039768,2634.471724,-32.314093,-66.546597,-985.808081,0,0.00018097510754,1.994657,2.759907,13.083175,-42.435752,317.098409,-32.176403,16107.567878,-24.314922,-63.745941,-985.438235,0,0.0010861885514,1.977969,3.049589,12.88634,-34.55714,310.183912,-41.38955,1930.702074,-34.338721,-65.556618,-985.528762,0,0.00010194123923,1.819167,2.826825,13.121635,-43.788583,243.897985,4.46891,-3.394455,5.818692,4,"Summer"
" Anchovy",20160410,1,"JOB",-36.407569,6720.151255,-28.699506,-62.6198,-986.991149,0,0.68178,4.455918,1.191715,20160410,-7.77486667,-79.44166667," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",14.421058,1.168765,31.178998,9.6802,0.00036727490813,1.777884,2.384002,11.918329,13.490807,0.784765,28.550497,6.080477,10.667922,0.0001570978584,-38.038297,233.787342,0.00336582555355,0.00015232680119,42.348477,2.49976,0.00015591475401,0,-38.0711278615,0.68178,-43.409226,1340.334985,-36.744695,-58.727947,-986.528694,0,5.891381371e-05,1.737219,2.271641,10.788527,-45.052492,188.567263,-40.316688,2731.914857,-34.047702,-67.130982,-986.089972,0,0.00010886599662,1.321492,0.892234,10.721323,-41.952878,170.678968,-46.046145,730.33393,-39.60454,-65.070104,-986.201395,0,3.279139849e-05,1.442142,0.785103,10.833648,-47.694318,192.837588,7.00165699999999,3.909119,9.638576,4,"Summer"
" Anchovy",20160410,1,"JOB",NA,59172.542238,-21.549559,-61.547117,-988.796815,0,0.779177,3.672683,1.202486,20160410,-7.77501667,-79.44161667," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",7.648819,1.071368,19.319382,6.672232,0.00222327102732,1.115075,-0.054603,13.843324,6.757115,0.687368,16.767972,3.781715,5.916467,0.00117012427,-29.31768,190.002984,0.0069264602461,0.00154246480721,18.578506,1.867732,0.00137286677301,0,-28.6237160592,0.779177,-31.413217,24255.274372,-23.952412,-55.94542,-988.725421,0,0.00116561227021,1.677856,1.914078,5.962631,-33.201635,243.622597,-34.399409,12195.14602,-27.563288,-67.360815,-987.910668,0,0.00059106876757,1.497446,0.743451,5.967128,-36.188876,245.768178,-33.187733,16119.614307,-26.98643,-66.760298,-988.480396,0,0.00070788657297,1.171967,-0.304858,5.979855,-34.98017,222.833615,NA,NA,NA,4,"Summer"
" Anchovy",20160410,1,"JOB",-38.728342,5513.531227,-29.424187,-65.54355,-987.348298,0,0.954492,4.023097,1.211229,20160410,-7.77514933,-79.44158333," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",13.842919,1.266163,31.761225,13.82771,0.00025823957761,2.746581,7.626948,11.361424,13.042537,0.882163,29.392462,9.077032,7.573877,9.537688611e-05,-40.205569,270.756981,0.00180952895099,0.00024646825023,46.022551,5.068671,0.00012791986853,0,-38.9306199561,0.954492,-33.83626,17007.404581,-22.310373,-67.747906,-987.522812,0,0.0010775310284,3.726269,15.237739,7.553948,-35.310128,365.967566,-35.333636,12047.597985,-27.314351,-67.730039,-987.049633,0,0.00054020928049,2.006796,2.913534,7.548876,-36.806657,258.957061,-36.627503,8943.628026,-28.965616,-67.017202,-987.499357,0,0.00036038006336,1.770058,1.968474,7.577237,-38.105301,232.965106,-4.89208199999999,-3.394706,-2.100839,4,"Summer"
" Anchovy",20160410,1,"JOB",-37.577433,4693.260336,-28.544689,-67.902783,-987.029241,0,0.623342,4.309823,1.225942,20160410,-7.775356,-79.44151067," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",29.983837,1.753148,80.381445,17.549133,0.00032421605073,2.363441,5.098295,11.614943,29.10715,1.369148,77.86007,13.304543,36.259328,0.000138278794,-38.592444,234.465489,0.00176911907926,0.00037532419358,159.408001,5.370431,0.00010888869952,0,-39.6301718902,0.623342,-36.795213,5619.487011,-26.713432,-62.591821,-986.837563,0,0.00040174320054,2.883368,9.137609,36.273273,-37.811239,242.701506,-33.081634,13214.614594,-23.034081,-66.826795,-986.441548,0,0.00089011945853,2.902407,10.274733,36.212141,-34.093279,228.442108,-32.228057,16084.671623,NA,-67.428767,-986.540459,0,0.00199730380411,4.758043,22.706636,36.233386,-33.241205,421.273958,-0.782220000000002,-4.495799,-5.349376,4,"Summer"
" Anchovy",20160410,1,"JOB",-30.196234,33704.957827,-21.690359,-59.16655,-987.227475,0,0.818136,4.069808,1.245559,20160410,-7.775636,-79.44141667," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",16.334929,1.460957,39.534676,14.505122,0.00174746705441,2.119248,3.738948,13.267279,15.3883,1.076957,36.873418,10.072927,10.741409,0.0007197300453,-31.428304,242.79479,0.00179345748659,0.00091460787321,66.290138,5.836437,0.00078199135844,0,-31.0679804618,0.818136,-33.184079,16939.841512,-23.307062,-66.253697,-987.536775,0,0.00108692466734,2.698185,6.891339,10.780081,-34.421577,300.854956,-33.226269,16776.073246,-22.97065,-67.871147,-986.926883,0,0.00119546962396,3.025822,8.482421,10.763635,-34.461441,333.950891,-34.076437,13793.469896,-27.370801,-59.573765,-987.0268,0,0.00054647664116,1.206352,0.214237,10.790672,-35.315449,185.830309,2.987845,3.030035,3.880203,4,"Summer"
" Anchovy",20160410,1,"JOB",-32.442753,20033.068494,-25.229813,-61.126409,-987.600705,0,0.815701,3.92932,1.280486,20160410,-7.77613265,-79.44125," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",22.065591,1.266163,47.327878,17.97889,0.00069452473387,1.494154,1.838692,12.782655,21.185308,0.882163,44.799312,12.026555,13.279801,0.0004036419194,-33.940037,172.06457,0.00200138599766,0.00040242721963,74.755542,5.625008,0.00046478878643,0,-33.3274435835,0.815701,-32.707249,18849.414404,-24.349877,-63.385248,-987.782927,0,0.00081116979287,2.211369,5.230825,13.302203,-34.206724,213.68998,-33.222213,16741.774225,-24.428853,-64.473451,-987.277506,0,0.00070690293688,2.140257,5.260651,13.287067,-34.720204,209.594637,-36.404026,8046.742714,-27.797761,-66.202603,-987.279401,0,0.00036848557836,2.209371,4.407091,13.337701,-37.907052,227.575578,0.264495999999994,0.77946,3.961273,4,"Summer"
" Anchovy",20160410,1,"JOB",-30.294547,30400.793534,-24.933886,-46.94945,-987.115205,0,0.754828,4.14409,1.314389,20160410,-7.77659266,-79.44108333," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",14.422816,0.973971,30.805538,11.144271,0.00099703349766,1.213292,0.276786,13.253339,13.459931,0.589971,28.111768,6.299834,9.982454,0.0005793954739,-32.370249,172.081686,0.00230379299603,0.00084766538753,31.763886,2.372777,0.00070533118466,0,-31.5160691436,0.754828,NA,35160.098268,-20.708327,-60.319762,-987.580908,0,0.00208203308917,2.587646,6.23177,10.003261,-31.740769,310.859768,-30.81249,26983.025127,-22.688523,-66.966356,-986.780654,0,0.00147386364037,2.094807,3.710795,9.988761,-32.888848,286.643516,-35.311806,9575.447055,-27.473727,-62.486804,-986.961193,0,0.00050895022274,2.05857,3.19216,10.067392,-37.396496,279.463374,NA,0.517942999999999,5.017259,4,"Summer"
