"Region_class","Date_S","DN","barco","Sv_mean_38kHz","NASC_38kHz","Sv_max_38kHz","Sv_min_38kHz","Sv_noise_38kHz","NASC_noise_38kHz","Height_mean","Depth_mean","Dist_M","Date_M","Lat_M","Lon_M","EV_filename","Uncorrected_length","Uncorrected_thickness","Uncorrected_perimeter","Uncorrected_area","Standard_deviation_38kHz","Skewness_38kHz","Kurtosis_38kHz","Attack_angle","Corrected_length","Corrected_thickness","Corrected_perimeter","Corrected_area","Image_compactness_38kHz","Corrected_mean_amplitude","Corrected_MVBS_38kHz","Coefficient_of_variation_38kHz","Horizontal_roughness_coefficient","Vertical_roughness_coefficient","X3D_school_area","X3D_school_volume","ABC","ABC_noise","Area_Backscatter_Strength","Thickness_mean","Sv_mean_70kHz","NASC_70kHz","Sv_max_70kHz","Sv_min_70kHz","Sv_noise_70kHz","NASC_noise_70kHz","Standard_deviation_70kHz","Skewness_70kHz","Kurtosis_70kHz","Image_compactness_70kHz","Corrected_MVBS_70kHz","Coefficient_of_variation_70kHz","Sv_mean_120kHz","NASC_120kHz","Sv_max_120kHz","Sv_min_120kHz","Sv_noise_120kHz","NASC_noise_120kHz","Standard_deviation_120kHz","Skewness_120kHz","Kurtosis_120kHz","Image_compactness_120kHz","Corrected_MVBS_120kHz","Coefficient_of_variation_120kHz","Sv_mean_200kHz","NASC_200kHz","Sv_max_200kHz","Sv_min_200kHz","Sv_noise_200kHz","NASC_noise_200kHz","Standard_deviation_200kHz","Skewness_200kHz","Kurtosis_200kHz","Image_compactness_200kHz","Corrected_MVBS_200kHz","Coefficient_of_variation_200kHz","ddB70","ddB120","ddB200","mes","VI","DC"
" Unclassified regions",20200324,2,"flores",-49.259458,325.51992,-41.095355,-63.052992,-973.012409,0,0.636842,20.659331,1.375992,20200324,-16.90346667,-72.69885," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",8.126349,0.864285,18.068146,5.254846,1.59691193e-05,2.505877,6.678467,8.738206,4.969464,0.480285,10.986376,1.785732,5.378768,7.579997355e-06,-51.203309,210.674471,4.674263453e-05,1.32741902e-06,9.547042,0.618144,7.55241308e-06,0,-51.2191426423,0.636842,-51.881798,177.968684,-45.992968,-66.254385,-971.945875,0,6.72306311e-06,1.119425,0.127529,5.610249,-53.916967,165.677618,-49.886852,281.733304,-44.959315,-66.967885,-970.996081,0,9.08684226e-06,0.677,-0.798925,5.543444,-51.897278,140.650357,-51.280054,204.417449,-46.528018,-67.968484,-970.323442,0,6.43240516e-06,0.826279,-0.437635,5.881146,-53.403907,140.852364,2.62234,0.627393999999995,2.020596,3,"Summer",14.9164642936605
" Unclassified regions",20200324,2,"flores",-42.43046,1269.717236,-33.710474,-67.796249,-978.283204,0,0.515539,11.157843,1.454118,20200324,-16.90232582,-72.69823791," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",14.842473,0.864285,38.346092,7.796924,9.897286578e-05,2.114119,3.322355,10.086147,12.873197,0.480285,33.639541,3.757904,23.96319,3.298780222e-05,-44.816466,300.028675,0.00040354436375,6.53668627e-06,24.731229,1.16505,2.945880874e-05,0,-45.3078481918,0.515539,-49.856551,229.666656,-40.20997,-67.610194,-978.720504,0,1.884839292e-05,2.983388,8.912647,24.348565,-52.26795,317.738088,-47.717671,375.825238,-40.793962,-67.929561,-977.67122,0,2.309282614e-05,1.649576,1.380512,24.302111,-50.126048,237.728851,-48.658821,302.601385,-42.486123,-67.66162,-977.247376,0,1.851091512e-05,1.147444,-0.122929,24.466158,-51.077853,237.253831,7.42609100000001,5.28721100000001,6.22836100000001,3,"Summer",14.8449901352553
" Unclassified regions",20200324,2,"flores",-49.388266,633.088936,-37.191724,-67.998589,-974.036054,0,1.27585,19.659665,1.517658,20200324,-16.90139089,-72.69772423," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",18.671547,2.865788,138.771798,25.578294,2.185180018e-05,4.011451,22.461248,8.170584,15.863248,2.481788,132.387199,18.819323,74.110224,1.039998269e-05,-49.829674,210.113813,0.000114885762,1.11358269e-06,157.476876,9.337036,1.468834583e-05,0,-48.330271108,1.27585,-51.593022,381.056286,-42.073362,-67.953168,-973.76467,0,1.282083293e-05,2.426302,5.316463,73.622152,-52.045464,205.334858,-51.63718,377.201488,-39.598279,-67.976639,-971.823804,0,1.56377468e-05,4.08742,18.603358,73.299639,-52.09694,253.435917,-56.173145,132.732365,-45.602941,-67.995762,-972.07235,0,4.38899082e-06,3.072484,10.431409,71.716344,-56.669944,203.872698,2.204756,2.248914,6.784879,3,"Summer",14.7863939013544
" Unclassified regions",20200324,2,"flores",-41.939308,3324.378107,-30.271214,-67.993461,-973.431778,0,1.205451,19.541322,1.665723,20200324,-16.89923945,-72.69650306," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",16.624206,1.758896,124.490762,19.255865,0.00016043782727,3.711501,14.092963,10.308331,13.098928,1.374896,116.672206,11.860079,91.335027,5.302054759e-05,-42.755558,302.595568,0.00128433458239,7.33236543e-06,72.038674,6.895576,7.712915606e-05,0,-41.1278142064,1.205451,-46.332548,1208.88912,-36.884729,-67.961721,-973.611801,0,3.862932519e-05,2.090101,4.441672,90.034943,-47.174387,201.537473,-46.352613,1203.316807,-37.185585,-67.975506,-971.590802,0,3.918264774e-05,2.290678,4.9743,89.448948,-47.205781,205.907365,-49.540337,577.573826,-38.993328,-67.992657,-971.965331,0,2.353902344e-05,3.407301,11.908686,87.711033,-50.426631,259.687777,4.39324000000001,4.413305,7.601029,3,"Summer",14.6515064952836
" Unclassified regions",20200324,2,"flores",-40.415521,2613.212207,-32.953578,-66.995837,-974.343479,0,0.667168,17.772297,1.744583,20200324,-16.89808803,-72.69586901," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",12.407412,1.15238,37.387135,6.726311,0.00012530187943,1.762327,2.239092,10.759712,9.060066,0.76838,29.924443,3.274971,21.758793,6.548872602e-05,-41.838335,191.333512,0.00058861089362,3.75188707e-06,27.846309,1.621357,6.062934048e-05,0,-42.1731715597,0.667168,-45.194375,869.539495,-37.804627,-66.349687,-974.030075,0,4.154797599e-05,1.713306,1.910903,21.931958,-46.658972,192.507228,-47.669543,491.781858,-39.364036,-67.425767,-972.579418,0,2.071029598e-05,2.314184,6.486663,22.134585,-49.175019,171.272713,-48.781736,380.674011,-42.216827,-65.67781,-972.394784,0,1.436555235e-05,1.021866,0.432721,22.296831,-50.315331,154.474019,4.778854,7.254022,8.366215,3,"Summer",14.5795086340335
" Unclassified regions",20200324,2,"flores",-46.561619,564.630999,-38.212834,-67.733585,-973.030734,0,0.593519,19.607788,1.841724,20200324,-16.89667481,-72.69507907," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",21.114671,1.228195,59.931225,13.841796,2.85684813e-05,2.204413,5.649276,8.998502,18.028854,0.844195,52.991591,8.123659,27.507579,1.580947493e-05,-48.010826,180.704808,9.059501346e-05,9.8710378e-07,60.879465,4.281634,1.310004789e-05,0,-48.8272711661,0.593519,-49.003769,321.773112,-38.577618,-67.841429,-972.754739,0,2.565844528e-05,3.127672,10.162479,27.617974,-50.462481,285.416058,-46.980056,512.768127,-38.193618,-67.768534,-971.578573,0,3.459677465e-05,1.893462,2.713209,27.585668,-48.436013,241.34421,-51.143264,196.607587,-43.295857,-67.874551,-970.958434,0,1.233890106e-05,2.030435,2.934269,27.928318,-52.627601,225.962585,2.44215,0.418436999999997,4.581645,3,"Summer",14.4911705448593
" Unclassified regions",20200324,2,"flores",-42.237276,2576.857555,-33.375988,-67.699247,-973.496036,0,1.000751,18.693903,1.885071,20200324,-16.89604557,-72.69472891," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",16.457439,1.683082,94.186408,15.202052,9.54565967e-05,2.306811,5.122469,10.222344,13.113318,1.299082,86.730166,9.349402,64.024569,4.875740117e-05,-43.119595,195.778681,0.0004160511564,3.17200007e-06,68.141094,6.40453,5.978587336e-05,0,-42.2340142217,1.000751,-42.357769,2506.346588,-33.295624,-67.391633,-973.322184,0,9.488237365e-05,2.163939,4.247784,64.126636,-43.236132,199.893546,-43.741858,1822.352044,-32.288571,-67.86521,-972.060163,0,0.0001033771497,4.139621,17.277528,63.581033,-44.64123,300.986864,-52.004453,271.877187,-43.281608,-67.985024,-971.800344,0,8.73153931e-06,1.929293,3.897172,61.951345,-52.965801,172.850591,0.120492999999996,1.504582,9.767177,3,"Summer",14.45187733529
" Unclassified regions",20200324,2,"flores",-43.302632,1491.857376,-31.530157,-67.792633,-972.677355,0,0.740455,21.079381,1.886008,20200324,-16.89603427,-72.69471761," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",18.336765,1.364661,72.023821,13.358458,0.000119068549,3.731093,14.12417,9.949212,14.667178,0.980661,63.916648,7.678463,42.339313,3.548887389e-05,-44.499078,335.509516,0.00060179533566,5.46520803e-06,57.534118,3.98153,3.461269948e-05,0,-44.6076452825,0.740455,-46.484128,717.096693,-38.626617,-67.979724,-972.278093,0,3.320624549e-05,1.33877,0.610786,42.281202,-47.697409,195.416234,-45.621046,874.753781,-38.909378,-67.731036,-970.779635,0,3.683393786e-05,1.250244,0.138763,42.263878,-46.839628,177.914353,-48.922303,409.034721,-41.024436,-67.933968,-970.346226,0,1.737337144e-05,1.48863,1.547385,42.168726,-50.173816,180.828007,3.181496,2.318414,5.619671,3,"Summer",14.4511481679358
" Unclassified regions",20200324,2,"flores",-48.682927,267.736035,-40.267886,-66.927516,-972.7253,0,0.458678,20.606256,2.029242,20200324,-16.89396667,-72.69356667," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",10.892874,0.849122,24.703417,5.451709,1.944230734e-05,1.996124,3.642243,8.636531,7.780877,0.465122,17.711423,2.133122,11.702574,8.068391403e-06,-50.93213,240.968817,7.88036379e-05,1.23661016e-06,14.47624,0.739653,6.21176465e-06,0,-52.0678500741,0.458678,-50.129413,191.89256,-42.745908,-67.152128,-972.35255,0,1.260472746e-05,1.721977,2.323416,11.82691,-52.396155,218.851196,-48.840082,258.220864,-41.003126,-67.191854,-971.023557,0,1.482529178e-05,2.164484,5.290269,11.844132,-51.109184,191.39105,-51.212825,149.526106,-45.605893,-67.855524,-970.548315,0,7.45880147e-06,0.875753,-0.171882,12.383651,-53.548432,168.854358,1.446486,0.157155000000003,2.529898,3,"Summer",14.3221770800917
" Unclassified regions",20200324,2,"flores",-45.27816,649.386044,-37.984722,-67.97705,-973.110021,0,0.507957,19.866454,2.060496,20200324,-16.89351667,-72.6933," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",10.968831,0.833959,41.281233,6.557642,4.379857796e-05,1.529653,1.134601,9.613319,7.627714,0.449959,33.831001,2.460426,37.017711,1.754903384e-05,-47.557468,249.578287,0.00018741914644,2.25779666e-06,13.72865,0.769402,1.506645631e-05,0,-48.2198888351,0.507957,-51.69362,148.237117,-40.96286,-67.971764,-972.966776,0,1.386239485e-05,3.780838,15.690823,36.78434,-54.073421,354.144426,-49.888078,224.65241,-39.016795,-67.603908,-971.412074,0,1.917394618e-05,4.493841,22.353059,36.800781,-52.259446,322.59385,-51.756106,146.119548,-39.251976,-67.376418,-971.154372,0,1.796896728e-05,4.905974,25.301876,36.713813,-54.178548,470.303169,6.41546,4.609918,6.477946,3,"Summer",14.2940642178573
