Region_class;Sv_mean;NASC;Height_mean;Depth_mean;Date_M;Time_M;Lat_M;Lon_M;Standard_deviation;Skewness;Kurtosis;Corrected_length;Corrected_thickness;Corrected_perimeter;Corrected_area;Image_compactness;Corrected_MVBS;Coefficient_of_variation;X3D_school_area;X3D_school_volume
 MUN;-54.105186;823.144487;4.914765;12.738379;20170306; 08:16:45.73;-18.29684629;-70.63773714;7.01E-06;5.351244;52.286084;16562.73297;28.070162;107843.1793;112080.5451;8257.436964;-54.163502;182.916776;1859674.381;574363.7613
 MUN;-61.991075;41.2775;1.514708;28.277248;20170306; 08:40:36.18;-18.29463333;-70.65899932;4.96E-07;2.097539;7.087764;256.870187;6.534649;1520.97599;368.605744;499.427847;-62.223303;82.757285;6714.225972;291.403932
 MUN;-61.764675;25.365001;0.883508;30.537781;20170306; 08:42:52.99;-18.29443333;-70.66092629;3.72E-07;0.822575;1.043515;52.501481;2.247036;207.530182;39.471007;86.830932;-62.396046;64.565665;471.890774;21.826557
 MUN;-50.936173;2349.416573;6.762161;28.839823;20170306; 08:54:36.21;-18.29341667;-70.67078267;1.20E-05;3.244836;16.153844;1840.538841;14.427755;7735.789351;11976.71695;397.613957;-51.041642;152.597939;106219.3774;62382.95686
 MUN;-56.02562;311.404242;2.893308;10.224466;20170306; 09:05:43.44;-18.29228333;-70.67868333;3.37E-06;3.05624;12.256687;37.347333;3.652998;167.499402;97.651963;22.86313;-56.406034;147.251496;545.718896;159.389467
 MUN;-51.112831;2776.755874;8.323941;27.474324;20170306; 09:05:43.44;-18.29228333;-70.67868333;1.09E-05;2.85213;10.791861;34.768498;11.03775;275.07918;279.288326;21.560201;-51.134208;141.364363;1535.063906;1391.481239
 MUN;-57.656895;158.443058;2.14324;9.080976;20170306; 09:09:24.25;-18.29195;-70.68108333;2.14E-06;3.135172;14.179889;489.546133;6.144866;2168.525979;991.621801;377.375176;-57.913157;132.204867;12032.78137;1366.595557
 MUN;-51.013902;2677.643639;7.846051;24.365378;20170306; 09:57:24.35;-18.28986667;-70.71446603;1.41E-05;4.357782;32.284046;7746.383746;24.074886;44847.35012;60620.81055;2640.231276;-51.080167;180.493165;745973.213;341687.9361
 MUN;-61.474917;58.377153;1.902141;14.247449;20170306; 09:13:17.05;-18.29175;-70.68356228;5.47E-07;1.974977;5.555337;69.192405;6.04742;494.852592;125.449967;155.335701;-61.714941;81.184917;1673.742178;115.003445
 MUN;-60.079173;36.165879;0.854524;9.415483;20170306; 09:13:26.65;-18.29175;-70.68367126;8.88E-07;2.535452;8.456429;36.09548;2.052144;107.661165;25.886382;35.631732;-60.78534;106.454789;296.292492;12.744872
 MUN;-59.904653;37.989043;0.862247;8.453086;20170306; 09:15:02.66;-18.29168333;-70.68470458;1.04E-06;2.875766;11.035063;96.494452;2.636819;319.828198;72.464667;112.330408;-60.47687;116.020853;1017.753446;41.234099
 MUN;-61.674099;21.349101;0.728279;12.779119;20170306; 09:14:53.06;-18.29168333;-70.6845956;5.15E-07;3.344386;15.785193;54.551815;3.221493;234.045869;35.5212;122.716924;-62.134194;84.164237;702.953186;13.958142
 MUN;-58.977589;67.48037;1.237213;8.142135;20170306; 09:18:19.46;-18.29161667;-70.68701667;1.44E-06;3.09593;15.151616;174.328275;2.929156;649.904302;191.183982;175.807524;-59.499994;128.166092;2042.538732;143.78388
 MUN;-59.189868;64.49164;1.241648;7.94294;20170306; 09:23:00.27;-18.29143333;-70.69036667;1.22E-06;2.718265;9.230856;95.707263;3.318939;466.907243;106.33195;163.150189;-59.646493;112.513595;1270.586224;57.603772
 MUN;-59.965944;35.880715;0.825969;7.998764;20170306; 09:26:05.08;-18.2913;-70.69261667;9.19E-07;1.757713;2.702981;66.24011;2.441927;234.287359;47.19295;92.55731;-60.577387;104.994832;647.014063;25.913027
 MUN;-61.196055;23.82342;0.727977;7.805636;20170306; 09:37:24.30;-18.29083333;-70.70126603;5.47E-07;1.897208;3.61535;55.409734;2.344481;181.566003;34.713557;75.571856;-61.833034;83.45118;519.628331;16.065609
 MUN;-57.63162;93.53807;1.257936;8.397629;20170306; 09:41:38.71;-18.29055;-70.7045;1.91E-06;2.660799;9.793886;184.97279;3.318939;582.045192;208.901406;129.051241;-58.09333;123.386958;2455.653531;172.526892
 MUN;-58.238998;87.771866;1.357573;7.594382;20170306; 09:53:26.74;-18.29019541;-70.71260459;1.86E-06;3.478237;18.497792;929.297051;3.903613;3458.840277;1168.083204;815.037088;-58.642958;135.929939;14510.46579;1034.666139
 MUN;-62.453692;13.60694;0.555441;17.550494;20170306; 10:02:19.56;-18.2895;-70.717;2.66E-07;1.47689;1.476306;25.881937;2.441927;83.910526;12.422141;45.105196;-63.035381;53.559056;252.807202;4.109867
 MUN;-60.97473;83.093267;2.412943;13.765713;20170306; 10:14:45.98;-18.28873333;-70.72480698;7.49E-07;2.913165;11.520275;58.613466;10.140142;637.088384;135.784096;237.870509;-61.103803;96.552403;2377.395499;106.870185
 MUN;-60.935283;114.146802;3.284734;14.565551;20170306; 10:17:09.99;-18.28851667;-70.72637363;6.81E-07;2.767312;15.07318;66.127902;9.26313;685.996552;207.933706;180.09809;-61.080592;87.299377;2450.205479;199.42852
 MUN;-61.478637;47.477142;1.548305;14.668653;20170306; 10:19:33.99;-18.28834303;-70.72793333;5.27E-07;1.824771;3.46801;25.251798;4.878071;178.37375;36.567017;69.240865;-61.751528;78.931128;492.720252;22.689185
 MUN;-62.468917;28.206105;1.155428;33.41509;20170306; 10:41:10.04;-18.28595;-70.74300703;3.22E-07;2.805726;10.996766;46.507212;4.098505;306.794118;48.832039;153.383744;-62.803281;61.349744;762.44015;21.046755
 MUN;-62.042052;26.862713;0.997386;12.672989;20170306; 10:50:26.86;-18.28462869;-70.75002131;4.86E-07;1.56698;2.185175;58.715581;2.344481;246.569808;50.073048;96.619748;-62.675293;90.072402;550.630325;26.445628
 MUN;-59.649828;478.354408;10.238603;26.054382;20170306; 10:50:58.06;-18.28457367;-70.75044034;1.76E-06;4.986753;37.734263;231.877163;14.135418;1810.923249;1974.355175;132.179755;-59.743806;166.078237;13110.72267;9656.781107
 MUN;-62.01881;37.995863;1.403219;15.087852;20170306; 10:51:26.86;-18.28449537;-70.75083333;6.41E-07;3.394853;16.727271;54.900846;2.929156;281.233314;68.226583;92.250779;-62.523346;114.549559;643.252528;47.198501
