Sv_mean;NASC;Height_mean;Depth_mean;Time_M;Skewness;Kurtosis;Corrected_length;Corrected_thickness;Corrected_perimeter;Corrected_area;Image_compactness;Corrected_MVBS;X3D_school_area;X3D_school_volume
-54.105186;823.144487;4.914765;12.738379; 08:16:45.73;5.351244;52.286084;16562.73297;28.070162;107843.1793;112080.5451;8257.436964;-54.163502;1859674.381;574363.7613
-61.991075;41.2775;1.514708;28.277248; 08:40:36.18;2.097539;7.087764;256.870187;6.534649;1520.97599;368.605744;499.427847;-62.223303;6714.225972;291.403932
-60.935283;114.146802;3.284734;14.565551; 10:17:09.99;2.767312;15.07318;66.127902;9.26313;685.996552;207.933706;180.09809;-61.080592;2450.205479;199.42852
-61.478637;47.477142;1.548305;14.668653; 10:19:33.99;1.824771;3.46801;25.251798;4.878071;178.37375;36.567017;69.240865;-61.751528;492.720252;22.689185
-62.468917;28.206105;1.155428;33.41509; 10:41:10.04;2.805726;10.996766;46.507212;4.098505;306.794118;48.832039;153.383744;-62.803281;762.44015;21.046755
-62.042052;26.862713;0.997386;12.672989; 10:50:26.86;1.56698;2.185175;58.715581;2.344481;246.569808;50.073048;96.619748;-62.675293;550.630325;26.445628
-59.649828;478.354408;10.238603;26.054382; 10:50:58.06;4.986753;37.734263;231.877163;14.135418;1810.923249;1974.355175;132.179755;-59.743806;13110.72267;9656.781107
-62.01881;37.995863;1.403219;15.087852; 10:51:26.86;3.394853;16.727271;54.900846;2.929156;281.233314;68.226583;92.250779;-62.523346;643.252528;47.198501
-55.993102;1367.569723;12.611533;28.110387; 10:54:14.87;3.236829;16.041468;228.807525;16.376671;2537.938541;2793.778889;183.467991;-56.062546;14988.42195;21724.40116
-53.985234;2173.480379;12.623718;25.367237; 11:03:31.69;7.831808;105.940276;923.221146;25.926355;5326.873813;11348.33072;198.977042;-54.03743;95743.03716;96262.4061
-62.24701;24.03394;0.935479;14.403701; 11:00:14.88;3.538346;12.844494;14.485744;2.344481;53.044352;11.598933;19.304137;-62.83424;135.846219;9.163245
-61.992769;30.194597;1.108446;14.619006; 11:03:05.29;1.709588;3.316196;45.705035;2.636819;223.0721;44.126446;89.739097;-62.549123;482.063532;28.183366
-62.709674;17.72303;0.767385;13.011329; 11:05:12.49;1.402011;3.900556;21.337743;1.662361;63.173685;13.371771;23.750548;-63.566232;141.884125;6.442344
-60.647088;23.15933;0.623653;13.100364; 11:08:41.30;1.819685;3.761004;41.299786;1.662361;153.02754;21.089726;88.360544;-61.508068;274.620605;7.704929
-55.561797;1455.973507;12.157418;25.863962; 11:12:46.11;7.675317;118.309981;613.093812;23.97744;3535.977363;6856.686432;145.10915;-55.61597;58801.68018;58276.52147
-55.040883;157.887485;1.169349;5.798023; 08:00:36.10;0.024083;-1.628257;6.724365;0.785349;15.09108;5.280974;3.431758;-56.652236;21.123898;3.257367
-56.118625;147.142955;1.396723;4.135779; 08:03:36.11;2.458481;8.713919;69.906404;2.83171;242.681435;86.795179;53.996753;-56.652486;791.818675;75.405484
-56.273513;122.835852;1.208327;3.926121; 08:03:55.31;2.605036;8.049812;42.593425;2.344481;108.532913;44.208853;21.203317;-56.907144;399.437951;41.648019
-58.333879;47.257793;0.747084;5.384937; 08:04:02.51;1.365421;1.225128;25.541986;1.272578;88.630199;14.792504;42.258286;-59.440033;130.016669;7.49715
